field_id,crop,time,fret_et,fret_eto,fret_etof
CA_244000,47,2024-09-11,2.841,3.56,0.798
CA_244000,47,2024-09-12,2.128,3.7,0.575
CA_244000,47,2024-09-13,2.378,3.86,0.616
CA_244000,47,2024-09-14,2.099,3.2,0.656
CA_244000,47,2024-09-15,2.071,2.98,0.695
CA_244000,47,2024-09-16,1.701,2.32,0.733
CA_244000,47,2024-09-17,2.13,2.77,0.769
CA_244000,47,2024-09-18,,,0.804
CA_244018,47,2024-09-11,1.485,3.2,0.464
CA_244018,47,2024-09-12,1.393,3.58,0.389
CA_244018,47,2024-09-13,1.386,3.5,0.396
CA_244018,47,2024-09-14,1.193,2.96,0.403
CA_244018,47,2024-09-15,1.081,2.61,0.414
CA_244018,47,2024-09-16,0.89,2.08,0.428
CA_244018,47,2024-09-17,1.115,2.5,0.446
CA_244018,47,2024-09-18,,,0.468
CA_244025,47,2024-09-11,3.092,2.92,1.059
CA_244025,47,2024-09-12,2.09,3.26,0.641
CA_244025,47,2024-09-13,2.074,3.25,0.638
CA_244025,47,2024-09-14,1.64,2.78,0.59
CA_244025,47,2024-09-15,1.33,2.4,0.554
CA_244025,47,2024-09-16,0.897,1.69,0.531
CA_244025,47,2024-09-17,1.134,2.18,0.52
CA_244025,47,2024-09-18,,,0.522
CA_244035,69,2024-09-12,1.32,3.18,0.415
CA_244035,69,2024-09-13,0.401,3.46,0.116
CA_244035,69,2024-09-14,0.364,3.06,0.119
CA_244035,69,2024-09-15,0.348,2.85,0.122
CA_244035,69,2024-09-16,0.315,2.65,0.119
CA_244035,69,2024-09-17,0.327,2.82,0.116
CA_244035,69,2024-09-18,0.312,2.81,0.111
CA_244035,69,2024-09-19,,,0.106
CA_244053,47,2024-09-11,2.608,3.2,0.815
CA_244053,47,2024-09-12,1.837,3.58,0.513
CA_244053,47,2024-09-13,1.869,3.5,0.534
CA_244053,47,2024-09-14,1.646,2.96,0.556
CA_244053,47,2024-09-15,1.509,2.61,0.578
CA_244053,47,2024-09-16,1.246,2.08,0.599
CA_244053,47,2024-09-17,1.538,2.5,0.615
CA_244053,47,2024-09-18,,,0.625
CA_244054,69,2024-09-11,2.099,3.17,0.662
CA_244054,69,2024-09-12,1.284,3.46,0.371
CA_244054,69,2024-09-13,1.232,3.48,0.354
CA_244054,69,2024-09-14,0.991,2.95,0.336
CA_244054,69,2024-09-15,0.846,2.66,0.318
CA_244054,69,2024-09-16,0.627,2.09,0.3
CA_244054,69,2024-09-17,0.707,2.48,0.285
CA_244054,69,2024-09-18,,,0.273
CA_244073,47,2024-09-11,2.908,2.69,1.081
CA_244073,47,2024-09-12,2.489,3.05,0.816
CA_244073,47,2024-09-13,2.593,3.29,0.788
CA_244073,47,2024-09-14,2.141,2.81,0.762
CA_244073,47,2024-09-15,1.781,2.42,0.736
CA_244073,47,2024-09-16,1.111,1.56,0.712
CA_244073,47,2024-09-17,1.428,2.07,0.69
CA_244073,47,2024-09-18,,,0.671
CA_244077,47,2024-09-11,2.374,2.92,0.813
CA_244077,47,2024-09-12,2.879,3.26,0.883
CA_244077,47,2024-09-13,2.918,3.25,0.898
CA_244077,47,2024-09-14,2.538,2.78,0.913
CA_244077,47,2024-09-15,2.227,2.4,0.928
CA_244077,47,2024-09-16,1.592,1.69,0.942
CA_244077,47,2024-09-17,2.086,2.18,0.957
CA_244077,47,2024-09-18,,,0.972
CA_244102,47,2024-09-11,,2.69,
CA_244102,47,2024-09-12,1.418,3.05,0.465
CA_244102,47,2024-09-13,2.704,3.29,0.822
CA_244102,47,2024-09-14,2.313,2.81,0.823
CA_244102,47,2024-09-15,1.994,2.42,0.824
CA_244102,47,2024-09-16,1.289,1.56,0.826
CA_244102,47,2024-09-17,1.714,2.07,0.828
CA_244102,47,2024-09-18,,,0.832
CA_244102,47,2024-09-19,,,0.836
CA_244108,47,2024-09-11,,3.36,
CA_244108,47,2024-09-12,3.633,3.5,1.038
CA_244108,47,2024-09-13,2.675,3.63,0.737
CA_244108,47,2024-09-14,2.188,3.03,0.722
CA_244108,47,2024-09-15,1.92,2.72,0.706
CA_244108,47,2024-09-16,1.423,2.06,0.691
